Tweets,Case_Folding,Data_Cleaning
@orenjigurin Akhirnya pake shopeefood☺️☺️☺️,@orenjigurin akhirnya pake shopeefood☺️☺️☺️,akhirnya pake shopeefood
Terimakasih kepada bapak gofood grabfood shopeefood yang selalu menyelamatkan malam hariku rispekkk,terimakasih kepada bapak gofood grabfood shopeefood yang selalu menyelamatkan malam hariku rispekkk,terimakasih kepada bapak gofood grabfood shopeefood yang selalu menyelamatkan malam hariku rispekkk
Gofood gue drtd magrib ga dapet2 driver. Apa udah beralih ke shopeefood semua ya,gofood gue drtd magrib ga dapet2 driver. apa udah beralih ke shopeefood semua ya,gofood gue drtd magrib ga dapet driver apa udah beralih ke shopeefood semua ya
"@DikiPamuji @shopeefood_id Isi atuh,,, ginjal masih lengkap kan?😭","@dikipamuji @shopeefood_id isi atuh,,, ginjal masih lengkap kan?😭",id isi atuh ginjal masih lengkap kan
@hahh_ai @shopeefood_id Ga pernah punya saldo shpepay😭,@hahh_ai @shopeefood_id ga pernah punya saldo shpepay😭,ai id ga pernah punya saldo shpepay
"@DikiPamuji @shopeefood_id Bisa, tapi yg promo² gt kebanyakan pke shopeepay","@dikipamuji @shopeefood_id bisa, tapi yg promo² gt kebanyakan pke shopeepay",id bisa tapi yg promo gt kebanyakan pke shopeepay
"Tadi siang pas lb tbtb ditelp bolakbalik dari shopeefood, karena no nya ga kukenal jadi ga ku angkat ealah ternyata dikirimin maksi tbtb wkwk gemes banget🤣
Pantes kemarin tbtb nanya kantor ku yg belah mana, alibi nanya bandara segala si kampret🤣 ada aja idenya:) https://t.co/pa7Zn56urr","tadi siang pas lb tbtb ditelp bolakbalik dari shopeefood, karena no nya ga kukenal jadi ga ku angkat ealah ternyata dikirimin maksi tbtb wkwk gemes banget🤣
pantes kemarin tbtb nanya kantor ku yg belah mana, alibi nanya bandara segala si kampret🤣 ada aja idenya:) https://t.co/pa7zn56urr",tadi siang pas lb tbtb ditelp bolakbalik dari shopeefood karena no nya ga kukenal jadi ga ku angkat ealah ternyata dikirimin maksi tbtb wkwk gemes banget pantes kemarin tbtb nanya kantor ku yg belah mana alibi nanya bandara segala si kampret ada aja idenya
"#DriverStory 
Iseng2 daftar aplikasi belanja makanan secara online alias #Shopeefood. 
Lupa daftar sejak kapan. Sepertinya waktu daftar merchant #ShopeeFood juga, sejak Juli dan baru dipanggil kmrn 10/10
Bayar untuk jaket, helm dan tas 450k","#driverstory 
iseng2 daftar aplikasi belanja makanan secara online alias #shopeefood. 
lupa daftar sejak kapan. sepertinya waktu daftar merchant #shopeefood juga, sejak juli dan baru dipanggil kmrn 10/10
bayar untuk jaket, helm dan tas 450k",iseng daftar aplikasi belanja makanan secara online alias lupa daftar sejak kapan sepertinya waktu daftar merchant juga sejak juli dan baru dipanggil kmrn bayar untuk jaket helm dan tas k
"How can it happen, pesen shopeefood dan ternyata drivernya temen sendiri. Untung mesennya bukan buat diri sendiri :)","how can it happen, pesen shopeefood dan ternyata drivernya temen sendiri. untung mesennya bukan buat diri sendiri :)",how can it happen pesen shopeefood dan ternyata drivernya temen sendiri untung mesennya bukan buat diri sendiri
langit bisakah kau turunkan 100 perak agar aku bisa makan karena aku order shopeefood totalnya 24.500 saldoku 24.427 terima kasih langit,langit bisakah kau turunkan 100 perak agar aku bisa makan karena aku order shopeefood totalnya 24.500 saldoku 24.427 terima kasih langit,langit bisakah kau turunkan perak agar aku bisa makan karena aku order shopeefood totalnya saldoku terima kasih langit
Yang bikin males jajan via shopeefood tuh karena banyak biaya ga terduganya. Belum include uang parkir driver dan tips https://t.co/I4ICO0pKHu,yang bikin males jajan via shopeefood tuh karena banyak biaya ga terduganya. belum include uang parkir driver dan tips https://t.co/i4ico0pkhu,yang bikin males jajan via shopeefood tuh karena banyak biaya ga terduganya belum include uang parkir driver dan tips
@tanyaindeca lagi asik banget yee shopeefood,@tanyaindeca lagi asik banget yee shopeefood,lagi asik banget yee shopeefood
"Driver shopeefood sampe udah hafal harus nganter kemana""nya 🤣

Tiap hari jajan temu orang"" Yg itu itu juga🤣

Tidur ah besok lembur lagi

Siapa tau bangun"" Jadi 2T lebih 300🤣

Babay❤ https://t.co/hGOO06BHKn","driver shopeefood sampe udah hafal harus nganter kemana""nya 🤣

tiap hari jajan temu orang"" yg itu itu juga🤣

tidur ah besok lembur lagi

siapa tau bangun"" jadi 2t lebih 300🤣

babay❤ https://t.co/hgoo06bhkn",driver shopeefood sampe udah hafal harus nganter kemananya tiap hari jajan temu orang yg itu itu juga tidur ah besok lembur lagi siapa tau bangun jadi t lebih babay
Suka iri sama orang yang bisa grabfood gofood atau shopeefood lihat lah betapa jauhnya rumah aku dari kota🥲 https://t.co/Ye1lGykO5i,suka iri sama orang yang bisa grabfood gofood atau shopeefood lihat lah betapa jauhnya rumah aku dari kota🥲 https://t.co/ye1lgyko5i,suka iri sama orang yang bisa grabfood gofood atau shopeefood lihat lah betapa jauhnya rumah aku dari kota
Hampir aja shopeefood salad lalu tiba-tiba inget tadi siang udah chatime 😭😭😭 pulang kerja sampai rumah ada croissant 1 box isi 9 juga udah disikat 3 😭😭😭 laper mulu ih heran,hampir aja shopeefood salad lalu tiba-tiba inget tadi siang udah chatime 😭😭😭 pulang kerja sampai rumah ada croissant 1 box isi 9 juga udah disikat 3 😭😭😭 laper mulu ih heran,hampir aja shopeefood salad lalu tibatiba inget tadi siang udah chatime pulang kerja sampai rumah ada croissant box isi juga udah disikat laper mulu ih heran
@vidi2791 Mayan sih tp tadi emang laper terus sekalian beli 2 biar dapet potongan shopeefood wkwkwk,@vidi2791 mayan sih tp tadi emang laper terus sekalian beli 2 biar dapet potongan shopeefood wkwkwk,mayan sih tp tadi emang laper terus sekalian beli biar dapet potongan shopeefood wkwkwk
"yg mau dibeli pulsa, knp malah jd pesen shopeefood...","yg mau dibeli pulsa, knp malah jd pesen shopeefood...",yg mau dibeli pulsa knp malah jd pesen shopeefood
"Ya allah w bercita2 bawa keluarga liburan ke bali, tapi pesen makan aja mikirnya setengah mati🥴 bandingin harga grabfood,shopeefood ama gofood ampe puyeng🥲","ya allah w bercita2 bawa keluarga liburan ke bali, tapi pesen makan aja mikirnya setengah mati🥴 bandingin harga grabfood,shopeefood ama gofood ampe puyeng🥲",ya allah w bercita bawa keluarga liburan ke bali tapi pesen makan aja mikirnya setengah mati bandingin harga grabfoodshopeefood ama gofood ampe puyeng
Dapat order piktif 😢😢 #ShopeeFood https://t.co/HBspUNQ8UN,dapat order piktif 😢😢 #shopeefood https://t.co/hbspunq8un,dapat order piktif
